Sample	SampleID	Melatonin_pos  	NAM  	Pyridoxal and Isopyridoxal  	Anthranilic Acid  	Kynurenic acid  	Metanephrine  	3-hydroxy-athranilic acid (3-HAA)  	Serotonin  	Xanthurenic Acid  	Dopamine  	N-Methylnicotinamide  	Phenylalanine  	L-Kynurenine  	Picolinic acid  	N-Formylkynurenine  	Tryptophan  	5-Hydroxyindole-3-acetic acid (5-HIAA)  	Glycyl-Phenylalanine  	3-Hydroxy Kynurenine  	Tyrosine  	5-Hydroxytryptophan  	Arginyl-Phenylalanine  	GABA  	NAD+  
	LLOQ	0.0156264	0.1250044	0.2500054	2.00005	0.0625022	0.1562538	1.000025	0.1250044	0.1250044	0.2500054	0.0156264	0.1296862	0.0625022	1.000025	0.1250044	0.160157	1.000025	0.0625022	0.5000142	0.142188	0.2500054	0.0156264	0.3218848	0.0625022
Jun GF-B-BR.d	23	0	53.0012	0	0	0	0	0	0.068	0.0353	0.511	0.063	25.2249	0	0	0	16.5197	0	0	0	26.5356	0	0.0015	449.3939	2.3767
Jun GF-N-BR.d	9	0	73.5451	0	0	0.0055	0	0	0.0691	0.0313	0.522	0.0619	67.1204	0	0	0	36.7837	0	0.0666	0	77.4185	0	0.0149	497.1726	2.5377
Jun GF-R-BR.d	25	0.0027	56.6538	0	0	0	0	0	0.0965	0.0405	0.567	0.0593	25.6114	0	0	0	15.6983	0	0	0	30.7876	0	0.0019	474.7679	3.0496
Jul GF-1-BR.d	14	0	61.3119	0	0	0	0	0	0.0988	0.0282	0.8008	0.0714	17.1998	0	0	0	9.7711	0	0	0	25.5665	0	0.0015	459.7257	3.5658
Jul GF-2-BR.d	1	0	64.4606	0	0	0.0032	0	0	0.2329	0	0.7327	0.0576	16.2635	0	0	0	11.4379	0	0	0	22.7056	0	0.0014	429.6114	4.2706
Jul GF-3-BR.d	4	0	65.6337	0	0	0.0018	0	0	0.1405	0.0416	0.7146	0.0484	19.6619	0	0	0	11.4384	0	0	0	23.3151	0	0.0017	421.6105	2.4648
Aug GF-L-BR.d	21	0	59.7494	0	0	0	0	0	0.1887	0.0309	0.8932	0.0491	18.9732	0	0	0	12.3425	0	0	0	22.7113	0	0.0009	420.5369	2.9184
Aug GF-N-BR.d	26	0	54.7496	0	0	0	0	0	0.2238	0.039	0.8952	0.0543	20.3533	0	0	0	12.7023	0	0	0	26.555	0	0.0012	431.307	2.8408
Aug GF-R-BR.d	12	0.003	58.6266	0	0	0.0027	0	0	0.0863	0.0401	0.472	0.0327	18.3112	0	0	0	13.6175	0	0	0	22.8004	0	0.0016	451.9968	5.7404
GLD063-N-BR.d	18	0	61.137	0	0	0	0	0	0.1089	0.033	0.529	0.0529	22.4485	0	0	0	14.2937	0	0	0	24.4112	0	0.0021	467.0538	3.2044
GLD063-R-BR.d	3	0.0014	53.7225	0.0222	0	0	0	0	0.0195	0.0272	0.4985	0.0625	25.4379	0	0	0	12.9101	0	0	0	24.3812	0	0.0022	444.4068	3.5701
GLD066-B-BR.d	17	0	62.9116	0	0	0	0	0	0.0717	0.0331	0.5051	0.043	18.7489	0	0	0	11.4489	0	0	0	24.9471	0	0.0024	448.2136	3.3361
GLD066-N-BR.d	29	0	58.096	0	0	0	0	0	0.1014	0.0307	0.4902	0.0758	24.2621	0	0	0	13.4323	0	0	0	21.9309	0	0.0011	496.0939	4.8757
GLD074-N-BR.d	2	0	61.4864	0	0	0	0	0	0.0829	0.0271	0.5243	0.0624	22.9333	0	0	0	14.0603	0	0	0	30.8203	0	0.002	516.3136	3.009
GLD074-R-BR.d	5	0	65.2006	0	0	0.0036	0	0	0.0868	0.1108	0.5117	0.0448	21.2413	0	0	0	13.2807	0	0	0	27.2592	0	0.0021	491.795	2.385
GLD086-B-BR.d	6	0	66.1027	0	0	0	0	0	0.0269	0.021	0.4592	0.0561	19.6103	0	0	0	11.6922	0	0	0	26.425	0	0.0012	522.8706	2.6552
GLD086-N-BR.d	16	0	67.0874	0	0	0	0	0	0.0616	0.035	0.4845	0.0503	19.7339	0	0	0	10.3167	0	0	0	23.0355	0	0.0012	448.3647	2.2117
GLD089-B-BR.d	24	0	63.4138	0	0	0	0	0	0	0.0271	0.458	0.0506	16.6887	0	0	0	9.2567	0	0	0	18.9789	0	0.001	428.3491	3.0295
GLD089-R-BR.d	19	0	56.3676	0	0	0	0	0	0.0458	0.0269	0.5516	0.0449	20.0434	0	0	0	9.1515	0	0	0	20.6175	0	0.0015	418.045	1.2699
GLD090-N-BR.d	7	0	73.9292	0	0	0	0	0	0.1195	0.0352	0.5794	0.0409	13.7682	0	0	0	8.3485	0	0	0	16.6228	0	0.0012	383.363	2.4652
GLD090-R-BR.d	10	0	64.9301	0	0	0	0	0	0.1367	0.0614	0.8032	0.0564	17.8337	0	0	0	9.3428	0	0	0	18.0827	0	0.001	422.0587	3.0991
GLD101-N-BR.d	8	0.0021	77.8435	0	0	0	0	0	0.1464	0	0.8314	0.0397	16.5938	0	0	0	12.8819	0	0	0	21.2076	0	0	455.2245	3.0439
GLD101-R-BR.d	15	0	67.7595	0	0	0	0	0	0.1538	0.0287	0.7451	0.0446	16.8672	0	0	0	11.8538	0	0	0	22.2636	0	0.0008	442.6527	2.6624
GLD113-N-BR.d	20	0	48.7434	0	0	0.0006	0	0	0.1736	0.0341	0.4731	0.0443	12.6928	0	0	0	9.3567	0	0	0	14.5244	0	0.0008	305.2153	4.7331
GLD113-R-BR.d	11	0	67.7804	0	0	0	0	0	0.2487	0.025	0.5733	0.0493	15.2854	0	0	0	12.8275	0	0	0	19.0155	0	0.0013	348.4879	3.0104
GLD116-N-BR.d	13	0	71.0136	0	0	0	0	0	0.2	0.0251	0.8117	0.0524	15.2651	0	0	0	10.6008	0	0	0	19.4876	0	0.0008	406.6677	3.6016
GLD116-R-BR.d	27	0	57.1464	0	0	0	0	0	0.1499	0.0407	0.7153	0.0665	20.1576	0	0	0	11.1265	0	0	0	21.0433	0	0.001	390.4573	3.0059
GLD120-N-BR.d	28	0	56.698	0	0	0.008	0	0	0.1361	0.0311	0.604	0.0505	15.6221	0	0	0	10.6339	0	0	0	16.1829	0	0.0014	418.7529	5.5846
GLD120-R-BR.d	22	0	54.621	0	0	0	0	0	0.1081	0.0479	0.6199	0.0961	20.2217	0	0	0	12.8377	0	0	0	22.5264	0	0.0006	369.8415	1.7805
